Tempo(min),1/Tensão(1/V)
0,0.57
5,0.57
10,0.56
15,0.57
20,0.58
25,0.58
30,0.58
35,0.60
40,0.57
45,0.57
50,0.61
55,0.59
60,0.61
65,0.57
70,0.60
75,0.61
80,0.61
85,0.57
90,0.58
95,0.61
100,0.58
105,0.58
110,0.58
115,0.61
120,0.57
125,0.61
130,0.60
135,0.60
140,0.61
145,0.59
150,0.58
155,0.60
160,0.58
165,0.59
170,0.59
175,0.59
180,0.59
185,0.60
190,0.58
195,0.60
200,0.57
205,0.60
210,0.61
215,0.60
220,0.60
225,0.61
230,0.60
235,0.59
240,0.61
245,0.61
250,0.59
255,0.59
260,0.61
265,0.60
270,0.61
275,0.57
280,0.61
285,0.61
290,0.58
295,0.57
300,0.61
305,0.61
310,0.59
315,0.61
320,0.60
325,0.58
330,0.61
335,0.57
340,0.61
345,0.57
350,0.60
355,0.57
360,0.61
365,0.61
370,0.59
375,0.61
380,0.61
385,0.61
390,0.60
395,0.58
400,0.58
405,0.57
410,0.58
415,0.59
420,0.61
425,0.61
430,0.61
435,0.61
440,0.57
445,0.57
450,0.61
455,0.59
460,0.61
465,0.61
470,0.59
475,0.61
480,0.59
485,0.58
490,0.61
495,0.58
500,0.58
505,0.61
510,0.58
515,0.60
520,0.59
525,0.58
530,0.62
535,0.61
540,0.61
545,0.57
550,0.61
555,0.58
560,0.61
565,0.62
570,0.61
575,0.62
580,0.60
585,0.62
590,0.61
595,0.58
600,0.61
605,0.58
610,0.58
615,0.61
620,0.61
625,0.58
630,0.62
635,0.58
640,0.58
645,0.61
650,0.59
655,0.58
660,0.60
